"","X","lon","lat","epiraindiff","epirhdiff","epitdiff","finfwh","finfwf","finfwd","difflower","diffupper","V12"
"7837",12930,-80.3910217285156,37.472225189209,-2.23089,-1.98757000000001,-0.0316899999999993,0.736404,0.625549,-0.110855,-33.748397,5.089226,0.00873391190140183
"7838",12931,-80.345458984375,37.5768508911133,-1.67774,-2.27035000000001,0.0726899999999997,0.7384432,0.6000939,-0.1383493,-38.554651,1.085431,0.0151367523457893
"7839",12932,-80.2997436523438,37.6814765930176,-2.70032,-2.43321999999999,0.0233500000000006,0.7541961,0.585712,-0.1684841,-39.21098,-1.317309,0.00964541745150171
"7840",12933,-80.2538452148438,37.7861175537109,-2.81263,-2.09153999999999,0.0113699999999994,0.7379228,0.5913026,-0.1466202,-36.641129,1.375568,0.00909368455020143
"7841",12934,-80.2078247070312,37.890754699707,-3.43066,-2.02211,-0.0409199999999998,0.7200254,0.6238517,-0.0961737,-30.64352,4.43069,0.0269593406470108
"7842",12935,-80.1616516113281,37.9953956604004,-3.40496,-1.45518,0.0657399999999999,0.7342735,0.6369172,-0.0973563000000001,-29.03401,4.500997,0.00264955293970104
"7843",12936,-80.1153259277344,38.1000442504883,-4.86941,-1.52389000000001,0.401400000000001,0.7555324,0.6361669,-0.1193655,-30.270863,2.041729,0.00783367625499665
"7844",12937,-80.06884765625,38.2046890258789,-5.71029,-1.56783,0.530939999999999,0.7410838,0.6452404,-0.0958433999999999,-28.647705,3.624314,0.0291652736283083
"7845",12938,-80.022216796875,38.3093338012695,-6.6244,-2.08502999999999,0.612919999999999,0.7497279,0.6505975,-0.0991304,-29.805578,5.388778,0.0328136361932039
"7848",12941,-79.88134765625,38.6233024597168,-2.37894,-2.80306999999999,0.85684,0.8055718,0.7113891,-0.0941827,-25.598408,4.329739,0.0423567020275044
"7851",12944,-79.7390747070312,38.9372711181641,-6.77127,-3.36131,0.383319999999999,0.8064867,0.7498096,-0.0566771,-19.883801,7.141084,0.0186790091078919
