,X,lon,lat,hist25,fut25,defo25,V12
8422,13871,-77.55404663,41.52401733,93.70414088,96.78568043,3.081539544,0.00468584
8423,13872,-77.50042725,41.62804794,93.60796317,96.71962786,3.111664686,0.006036381
8424,13873,-77.44659424,41.73205185,94.13541218,96.44609751,2.310685328,0.010112927
8425,13874,-77.39257813,41.83605194,94.48509629,96.69398189,2.208885607,0.00446874
8426,13875,-77.33840942,41.94003677,95.47770249,97.74832635,2.27062386,0.012149392
8427,13876,-77.2840271,42.04401398,95.64689227,98.10948027,2.462587999,0.004651728
8428,13877,-77.22943115,42.14796066,95.69876241,98.081621,2.382858587,0.003262984
8429,13878,-77.17468262,42.25189209,95.87307749,97.57516691,1.70208942,0.037245051
8430,13879,-77.11972046,42.35580444,95.57990568,97.28228104,1.702375356,0.0010259
8431,13880,-77.0645752,42.45970917,96.42490888,98.50828841,2.083379528,0.014535561
8432,13881,-77.00921631,42.56360245,97.53920797,98.83718221,1.297974241,0.014392044
8433,13882,-76.95367432,42.66746521,97.82162066,99.01723204,1.195611383,0.00177238
8435,13884,-76.84204102,42.8751297,98.44005541,99.05468003,0.614624618,0.021975823
8440,13889,-76.55935669,43.39396286,97.8311876,99.14646956,1.315281968,0.010135244
8447,13896,-76.15509033,44.11936951,96.86021007,98.75997155,1.899761473,0.016269299
8448,13897,-76.09649658,44.22290039,97.84611044,98.87919962,1.033089181,0.046261336
8482,13983,-79.33081055,37.527771,97.1312521,98.59306957,1.461817476,0.034442193
8483,13984,-79.28344727,37.63193893,95.97561802,98.52557531,2.549957292,0.006429028
8484,13985,-79.2359314,37.73608017,92.1157064,97.74413174,5.628425331,0.007442721
8485,13986,-79.18826294,37.84024048,83.95837799,96.302289,12.34391101,0.035659426
8486,13987,-79.14044189,37.94440079,86.98891557,97.29881451,10.30989894,0.00819026
8487,13988,-79.09246826,38.04855728,93.99388229,98.43815106,4.444268764,0.00566961
8488,13989,-79.04431152,38.15271759,96.82631009,98.91170691,2.085396816,0.033272272
8489,13990,-78.9960022,38.2568779,97.40793133,99.00661057,1.598679234,0.021536743
8491,13992,-78.89892578,38.46519852,96.27900458,98.80522153,2.52621695,0.00988654
8492,13993,-78.85012817,38.56936646,96.45167454,98.80619131,2.354516777,0.017140335
8493,13994,-78.8012085,38.67352676,96.25220882,98.9309568,2.67874798,0.003147654
8494,13995,-78.7520752,38.77767181,96.02483351,98.93462247,2.90978896,0.009563992
8495,13996,-78.70281982,38.88184357,93.30048594,98.6975518,5.397065865,0.000398557
8496,13997,-78.65338135,38.98600006,91.06178224,98.73816649,7.676384253,0.009742107
8497,13998,-78.60375977,39.09014893,90.49015575,98.67346275,8.183307005,0.002477443
8498,13999,-78.5539856,39.19429779,93.60215762,99.00274399,5.400586364,0.007587594
8499,14000,-78.50402832,39.29843521,95.06481565,99.04047287,3.975657227,0.004307707
8500,14001,-78.45394897,39.40257645,97.22938249,99.13546584,1.906083344,0.006054877
8501,14002,-78.40365601,39.50671768,97.25499148,99.15768641,1.902694936,0.005565083
8502,14003,-78.35321045,39.61085129,96.65213776,99.14696221,2.494824457,0.005845751
8503,14004,-78.3026123,39.71496964,96.65879416,99.21119533,2.552401169,0.016078743
8504,14005,-78.25180054,39.81909561,93.39598684,99.21648838,5.820501535,0.00603951
8505,14006,-78.2008667,39.92321014,91.10210581,99.02470443,7.922598616,0.005150863
8506,14007,-78.14971924,40.02731705,90.09371907,98.81960581,8.725886742,0.00558477
8507,14008,-78.09838867,40.13141632,90.4443321,98.8747643,8.430432204,0.005078928
8508,14009,-78.04693604,40.23550415,90.83539485,99.06932583,8.233930978,0.006603541
8509,14010,-77.99526978,40.33958817,92.2136681,99.13461413,6.920946037,0.003636181
8510,14011,-77.94342041,40.44366455,92.9039117,99.12293799,6.219026297,0.00606814
8511,14012,-77.89141846,40.54773712,92.8519803,99.01956461,6.16758431,0.008257241
8512,14013,-77.8392334,40.6517868,92.57820318,98.97758886,6.399385677,0.000656616
8513,14014,-77.78686523,40.75583649,91.53957158,98.83430879,7.294737214,0.006760903
8514,14015,-77.73431396,40.85987091,92.7083744,98.66391483,5.955540434,0.008083612
8515,14016,-77.68157959,40.96389771,94.23221049,99.07790838,4.845697882,0.00481956
8516,14017,-77.62866211,41.06791687,94.76763409,99.0663313,4.298697209,0.005351836
8517,14018,-77.57556152,41.17191696,93.98876843,99.03759342,5.048824993,0.002057111
8518,14019,-77.52227783,41.27590561,93.38583059,98.59728849,5.211457903,0.007724627
8519,14020,-77.46881104,41.37989426,94.09420964,98.17784244,4.083632805,0.008149521
8520,14021,-77.41516113,41.48384857,94.48980531,97.87530781,3.385502493,0.005502897
8521,14022,-77.36132813,41.58779907,94.47384988,97.31120712,2.837357247,0.007321614
8522,14023,-77.30731201,41.69173813,94.24740968,96.79231066,2.544900978,0.00166267
8523,14024,-77.25311279,41.79566574,94.8680032,97.31464065,2.446637452,0.003801725
8524,14025,-77.19873047,41.89956665,95.53196471,97.68378049,2.15181578,0.004176349
8525,14026,-77.14413452,42.00345612,95.6558296,98.24337951,2.587549913,0.00301983
8526,14027,-77.08935547,42.10733795,95.85740539,98.29923581,2.441830414,0.007858613
8527,14028,-77.03436279,42.21118927,95.43381574,97.47696429,2.043148549,0.004024045
8528,14029,-76.97921753,42.31502914,95.34574002,97.28147046,1.935730436,0.005817868
