insect_density,group,model,variable,lower,upper
2000,Defoliation,upper75,95pct,20.63247,48.27661
2000,Defoliation,upper75,mean,6.89620814274351,20.9164695191688
4000,Fraction Infected,normal,5pct,-27.2102947822118,-15.1400175114663
4000,Fraction Infected,normal,95pct,-3.94057937874612,-1.05068951374234
4000,Fraction Infected,normal,mean,-14.5531377046673,-6.82897074469487
4000,Fraction Infected,upper75,5pct,-51.11981,-28.60515
4000,Fraction Infected,upper75,95pct,-8.222564,-0.78254
4000,Fraction Infected,upper75,mean,-30.7728326227597,-12.2015966736464
4000,Fraction Infected,lower25,5pct,-7.679706,-1.564014
4000,Fraction Infected,lower25,95pct,5.941,16.79973
4000,Fraction Infected,lower25,mean,0.589459904783986,1.34314191237171
4000,Defoliation,normal,5pct,0.641650000000006,3.73603
4000,Defoliation,normal,95pct,27.70436,35.54624
4000,Defoliation,normal,mean,11.6695683123377,18.8159146372403
4000,Defoliation,lower25,5pct,-13.27197,-10.08297
4000,Defoliation,lower25,95pct,0.2071608,3.671892
4000,Defoliation,lower25,mean,-2.23438732632775,-1.39852067354255
4000,Defoliation,upper75,5pct,1.494514,10.20929
4000,Defoliation,upper75,95pct,55.17434,71.95747
4000,Defoliation,upper75,mean,23.801854035026,42.6866021519481
10000,Fraction Infected,normal,5pct,-9.92335691034326,-3.78828566881627
10000,Fraction Infected,normal,95pct,-0.261017743165661,-0.00760375929859372
10000,Fraction Infected,normal,mean,-3.72075070289047,-0.971292571336437
10000,Fraction Infected,upper75,5pct,-15.3025,-1.806611
10000,Fraction Infected,upper75,95pct,-0.09540938,-0.0004353484
10000,Fraction Infected,upper75,mean,-5.14639090136107,-0.707601809747543
10000,Fraction Infected,lower25,5pct,-0.1607259,-0.0007667244
10000,Fraction Infected,lower25,95pct,0.1541717,2.663973
10000,Fraction Infected,lower25,mean,0.0548118946665033,0.392788340257475
10000,Defoliation,normal,5pct,2.0406555,4.42436
10000,Defoliation,normal,95pct,28.05947,34.9637
10000,Defoliation,normal,mean,13.6851788219903,19.255949960211
10000,Defoliation,lower25,5pct,-14.81785,-10.3945
10000,Defoliation,lower25,95pct,0.6334215,2.398741
10000,Defoliation,lower25,mean,-2.7551103535636,-1.34331408922501
10000,Defoliation,upper75,5pct,1.1945,13.09185
10000,Defoliation,upper75,95pct,61.52564,75.39216
10000,Defoliation,upper75,mean,25.6550695390279,46.0981659213929
40000,Fraction Infected,normal,5pct,-0.545851943286121,-0.0434800043480073
40000,Fraction Infected,normal,95pct,0,0.00194003860676855
40000,Fraction Infected,normal,mean,-0.108126680635718,-0.0117039373310665
40000,Fraction Infected,upper75,5pct,-0.009240021,-1.087938e-05
40000,Fraction Infected,upper75,95pct,-1.419787e-09,-3.177347e-10
40000,Fraction Infected,upper75,mean,-0.0235634939683937,-0.000434316652983591
40000,Fraction Infected,lower25,5pct,2.844391e-11,1.558864e-10
40000,Fraction Infected,lower25,95pct,6.551297e-08,0.0009602891
40000,Fraction Infected,lower25,mean,5.36272943467793e-05,0.00230904923978536
40000,Defoliation,normal,5pct,-1.310441,-0.0264141000000001
40000,Defoliation,normal,95pct,6.3674513,13.7636996
40000,Defoliation,normal,mean,1.18181748375974,4.67834252843182
40000,Defoliation,lower25,5pct,-3.807892,-0.005114385
40000,Defoliation,lower25,95pct,-1.48999e-05,-2.496734e-06
40000,Defoliation,lower25,mean,-0.584848985077992,-0.0692291659287092
40000,Defoliation,upper75,5pct,4.739329e-05,0.0001650511
40000,Defoliation,upper75,95pct,0.2827316,15.47234
40000,Defoliation,upper75,mean,0.378384700201367,3.92624822472026
