"","X","lon","lat","epirainh","epirainf","epiraindiff","epirhh","epirhf","epirhdiff","epiaveth","epiavetf","epiavetdiff","V12"
"7860",12953,-79.3035278320312,39.8790893554688,55.62622,39.01359,-16.61263,79.21279,75.72403,-3.48876,16.03502,16.3366,0.301580000000001,0.00484838037469615
"7861",12954,-79.2542724609375,39.9837265014648,50.36305,35.31705,-15.046,80.49782,76.7723,-3.72552,16.03395,16.63704,0.603089999999998,0.00616584357879191
"7862",12955,-79.2048950195312,40.0883483886719,40.30496,30.92239,-9.38257,80.04281,76.1809,-3.86191000000001,16.06825,16.77045,0.702200000000001,0.00481460298469472
"7863",12956,-79.1553344726562,40.1929550170898,37.45623,30.19844,-7.25779,78.12515,74.53576,-3.58939000000001,16.13968,16.69067,0.550990000000002,0.00651995056380628
"7864",12957,-79.1056213378906,40.2975730895996,39.77916,33.51436,-6.26479999999999,76.93619,73.6319,-3.30428999999999,16.29026,16.4811,0.190840000000001,0.00513883930049985
"7865",12958,-79.0557250976562,40.4021873474121,48.60232,42.11109,-6.49123,77.3442,73.91982,-3.42438,16.34539,16.59641,0.25102,0.00551366122521557
"7866",12959,-79.0056457519531,40.5067863464355,54.05128,47.77498,-6.2763,77.90959,74.23743,-3.67215999999999,16.3494,16.77994,0.430540000000001,0.00579799118789737
"7867",12960,-78.9553833007812,40.6113777160645,50.2014,42.31935,-7.88205,78.05115,74.55715,-3.49400000000001,16.3452,16.8188,0.473600000000001,0.0093837834149042
"7868",12961,-78.9049682617188,40.7159576416016,46.68955,38.4015,-8.28805,79.67846,75.82412,-3.85434000000001,16.37695,16.90635,0.529399999999999,0.0057972004484057
"7869",12962,-78.8544006347656,40.8205413818359,45.26924,37.49755,-7.77169000000001,78.68186,74.9007,-3.78116,16.45598,16.99984,0.543859999999999,0.00549616921811236
"7870",12963,-78.8036193847656,40.925106048584,41.07422,37.65515,-3.41907,78.58113,74.89013,-3.691,16.5063,17.10647,0.600170000000002,0.00514791117360147
"7871",12964,-78.752685546875,41.0296669006348,40.47841,35.04626,-5.43215,79.0344,75.46001,-3.57439000000001,16.50677,17.18023,0.673460000000002,0.00648878124669494
"7872",12965,-78.7015686035156,41.1342163085938,41.76678,36.13271,-5.63406999999999,79.19442,75.77904,-3.41538,16.45449,17.17188,0.717390000000002,0.00594388357470876
"7873",12966,-78.6502685546875,41.2387504577637,41.02984,34.60965,-6.42019,79.71498,76.40377,-3.31121,16.65717,17.26563,0.608460000000001,0.00302621752980059
"7874",12967,-78.5988159179688,41.3432769775391,39.63807,32.34511,-7.29296,79.70415,76.33232,-3.37183,16.63351,17.30179,0.668279999999999,0.00919649506588627
"7875",12968,-78.5471496582031,41.4477958679199,41.55183,33.20851,-8.34332000000001,80.00145,76.72619,-3.27526,16.62368,17.29884,0.675159999999998,0.00170726689150769
"7876",12969,-78.4953002929688,41.5523109436035,41.67096,33.84591,-7.82505,80.44406,77.37051,-3.07355,16.58655,17.2833,0.696750000000002,0.0118980914695967
"7877",12970,-78.4432983398438,41.6568031311035,38.85197,31.27867,-7.5733,80.75375,77.97886,-2.77489,16.47803,17.3149,0.836870000000001,0.0149206794582142
"7878",12971,-78.39111328125,41.7612800598145,37.46518,31.35607,-6.10911,80.15557,77.39427,-2.76129999999999,16.53606,17.31673,0.780670000000001,0.00414022492920907
"7879",12972,-78.3387145996094,41.8657455444336,41.59807,34.72275,-6.87532,79.92873,77.134,-2.79473,16.5844,17.24083,0.65643,0.0160516057601043
"7880",12973,-78.2861633300781,41.9702072143555,45.16508,38.66372,-6.50136000000001,80.03815,77.48404,-2.55411000000001,16.5393,17.25575,0.716449999999998,0.013962663637308
"7881",12974,-78.2333984375,42.0746536254883,43.10835,35.78858,-7.31977,80.5398,77.91488,-2.62492,16.52851,17.27303,0.744519999999998,0.00951472449640534
"7882",12975,-78.1804809570312,42.1790733337402,36.40905,30.85496,-5.55409,80.05413,77.4388,-2.61533,16.58568,17.28976,0.704080000000001,0.0424601652944858
"7883",12976,-78.1273498535156,42.2834892272949,35.84339,32.54636,-3.29703,79.09472,76.62404,-2.47068,16.72043,17.34124,0.620809999999999,0.00474429485130656
"7884",12977,-78.0740356445312,42.3878898620605,36.9815,34.58738,-2.39411999999999,78.7113,76.38328,-2.32802,16.79165,17.35106,0.55941,0.0326972778420114
"7887",12980,-77.9129943847656,42.7009811401367,29.46597,26.98876,-2.47721,74.07175,71.99178,-2.07996999999999,17.41432,17.79997,0.385649999999998,0.041890741803293
"7891",12984,-77.695556640625,43.1182060241699,28.75359,29.98765,1.23406,60.64712,60.55009,-0.0970300000000037,18.35692,18.68756,0.330640000000002,0.0128401139183083
"7892",12985,-77.6407165527344,43.222469329834,30.90275,30.83409,-0.0686600000000013,59.60252,59.62122,0.0187000000000026,18.55536,18.83571,0.280349999999999,0.00338510442730211
"7923",13078,-80.350341796875,37.2269325256348,23.25989,24.57125,1.31136,74.58851,73.0582,-1.53031,15.40435,15.67818,0.273829999999998,0.0262074873538012
"7926",13081,-80.2135009765625,37.5405921936035,22.32645,21.7526,-0.57385,74.64567,73.02562,-1.62004999999999,15.92953,15.89475,-0.0347799999999996,0.00796544051760151
"7928",13083,-80.1215209960938,37.7497138977051,23.31348,22.92157,-0.391909999999999,74.39613,72.64531,-1.75082,15.97381,15.95699,-0.0168200000000009,0.0386182484384889
"7929",13084,-80.0753173828125,37.8542900085449,25.25918,24.96859,-0.290590000000002,74.65305,72.89229,-1.76075999999999,16.02651,15.93292,-0.093589999999999,0.0133625624941089
"7930",13085,-80.0289306640625,37.9588584899902,26.23589,23.92296,-2.31293,77.53061,76.11351,-1.41709999999999,15.85641,15.90957,0.0531600000000001,0.0162143261427943
"7931",13086,-79.982421875,38.0634384155273,25.32929,21.69982,-3.62947,77.34778,75.90117,-1.44661000000001,15.82655,16.05861,0.232060000000002,0.00788946376150079
"7932",13087,-79.9357299804688,38.1680145263672,28.84856,23.74185,-5.10671,78.02721,76.56162,-1.46558999999999,15.78403,16.18528,0.401249999999999,0.0101840960241049
"7933",13088,-79.888916015625,38.2725944519043,31.1694,24.59045,-6.57895,79.33326,77.67144,-1.66181999999999,15.69071,16.23753,0.54682,0.00264820316420611
"7934",13089,-79.8419189453125,38.3771820068359,29.81555,21.73281,-8.08274,81.04655,78.88221,-2.16434,15.60718,16.40614,0.798960000000001,0.048338127670803
"7940",13095,-79.5566711425781,39.004695892334,42.89445,35.05642,-7.83803,82.68514,79.25714,-3.428,15.39064,16.12873,0.738090000000001,0.0436261278554042
"7942",13097,-79.4602966308594,39.2138595581055,37.38634,29.17245,-8.21389,83.18318,79.21189,-3.97129,15.43217,16.14121,0.709040000000002,0.0275553726868054
"7943",13098,-79.411865234375,39.3184394836426,32.64413,22.65313,-9.991,81.59738,77.63985,-3.95753000000001,15.50012,16.16031,0.660189999999998,0.00624190307430439
"7944",13099,-79.36328125,39.4230155944824,30.88059,21.31107,-9.56952,81.05249,77.11222,-3.94027000000001,15.64158,16.39684,0.755260000000002,0.00416196931680446
"7945",13100,-79.3145141601562,39.5275917053223,29.21675,21.13783,-8.07892,81.13005,77.39727,-3.73277999999999,15.83862,16.54161,0.702989999999998,0.00738305244199466
"7946",13101,-79.2655944824219,39.6321640014648,32.98109,23.02892,-9.95217,80.66275,76.71154,-3.95121,15.90901,16.60598,0.696969999999999,0.00336032800559138
"7947",13102,-79.2164916992188,39.7367362976074,39.72037,27.94479,-11.77558,80.33112,76.32455,-4.00657,15.83534,16.57982,0.744480000000001,0.00784518569660264
"7948",13103,-79.167236328125,39.8412933349609,38.76233,25.87157,-12.89076,80.09099,76.24361,-3.84738,15.90842,16.61653,0.708110000000001,0.0139975929450955
"7949",13104,-79.1178283691406,39.945858001709,35.98247,24.26697,-11.7155,81.43475,77.6964,-3.73835,15.9901,16.64525,0.655150000000001,0.00718303507550644
"7950",13105,-79.0682373046875,40.0504150390625,33.40291,24.43826,-8.96465,81.32618,77.73022,-3.59595999999999,16.0412,16.67779,0.636590000000002,0.00727953548060611
"7951",13106,-79.0184631347656,40.1549606323242,33.62684,25.26889,-8.35795,79.97378,76.33062,-3.64316000000001,16.12573,16.76897,0.643239999999999,0.0168689052142952
"7952",13107,-78.9685363769531,40.2594985961914,40.46578,35.19056,-5.27522,77.50499,74.11288,-3.39211,16.20727,16.72169,0.514419999999998,0.00572237005509635
"7953",13108,-78.9184265136719,40.3640327453613,49.21579,42.89605,-6.31974,78.08742,74.50653,-3.58089,16.27334,16.86831,0.59497,0.0391675456130898
"7954",13109,-78.8681640625,40.468563079834,47.41474,39.69897,-7.71577,79.18276,75.2662,-3.91656,16.29169,16.85855,0.566860000000002,0.039331566048098
"7955",13110,-78.8177185058594,40.5730781555176,40.99941,34.83336,-6.16605,78.97368,74.90286,-4.07082,16.30485,16.92011,0.615260000000003,0.013839857684097
"7956",13111,-78.76708984375,40.6775932312012,39.77401,34.64265,-5.13135999999999,78.42277,74.62093,-3.80184,16.38957,16.98238,0.59281,0.0208017272162024
"7957",13112,-78.71630859375,40.7821006774902,39.51491,33.33439,-6.18052,78.08156,74.40615,-3.67541,16.45587,17.02692,0.57105,0.00551249220520589
"7958",13113,-78.6653137207031,40.8865928649902,38.33542,33.20628,-5.12914,78.12677,74.57481,-3.55195999999999,16.49651,17.10731,0.610799999999998,0.00611657082060901
"7959",13114,-78.6141967773438,40.9910850524902,37.869,33.14295,-4.72605,78.47749,75.11844,-3.35905,16.56887,17.22278,0.65391,0.00426429545990459
"7960",13115,-78.5628662109375,41.0955543518066,38.032,30.9464,-7.0856,78.95872,75.44855,-3.51017,16.54187,17.21342,0.67155,0.00481376381830501
"7961",13116,-78.5113525390625,41.2000198364258,35.69698,30.8325,-4.86448,78.94389,75.54586,-3.39802999999999,16.549,17.2804,0.731400000000001,0.00863042229340749
"7962",13117,-78.4596557617188,41.3044815063477,35.4327,32.33238,-3.10032,78.51996,75.19455,-3.32540999999999,16.59338,17.29036,0.69698,0.00109881796860378
"7963",13118,-78.4078063964844,41.4089241027832,37.47444,32.73726,-4.73718,78.60003,75.42057,-3.17946000000001,16.73226,17.33508,0.602820000000001,0.00819970301141382
"7964",13119,-78.3557739257812,41.5133590698242,42.87184,34.90161,-7.97023,78.92951,76.00182,-2.92769,16.73112,17.3513,0.620179999999998,0.005793799506705
"7965",13120,-78.3035278320312,41.6177749633789,43.71671,33.59455,-10.12216,79.93737,77.13974,-2.79763,16.61451,17.27999,0.665480000000002,0.00355057675900383
"7966",13121,-78.2511291503906,41.7221832275391,42.02144,35.23826,-6.78318,80.71271,78.0663,-2.64641,16.47808,17.25543,0.777350000000002,0.0166984743892939
"7967",13122,-78.1985473632812,41.8265914916992,44.0447,36.62795,-7.41675,80.53307,77.84806,-2.68500999999999,16.47638,17.21444,0.738060000000001,0.00635406234718516
"7968",13123,-78.145751953125,41.9309692382812,44.83662,37.83753,-6.99909,80.5852,78.00891,-2.57629,16.45,17.23286,0.782859999999999,0.00845960008290092
"7969",13124,-78.0928039550781,42.0353393554688,39.14801,33.14658,-6.00143,80.64603,78.07591,-2.57012,16.44279,17.27511,0.832320000000003,0.042962519057788
"7970",13125,-78.0396728515625,42.1396903991699,36.0286,30.9704,-5.0582,80.00203,77.29836,-2.70367,16.5273,17.2907,0.763400000000001,0.0368330059852937
"7971",13126,-77.986328125,42.2440338134766,38.36027,32.93712,-5.42315,79.59055,76.85259,-2.73795999999999,16.59429,17.30991,0.715619999999998,0.0234551490850023
"7972",13127,-77.9328002929688,42.3483467102051,35.68674,32.64238,-3.04436,79.28555,76.69737,-2.58817999999999,16.64344,17.34807,0.704630000000002,0.0425138809532939
